y,x
101,99
101,100
101,101
101,102
102,102
102,101
102,100
102,99
102,98
102,97
102,96
102,95
102,94
102,93
102,92
100,91
101,91
102,91
93,94
92,96
86,92
87,90
87,89
87,88
85,87
83,86
81,85
79,84
77,83
75,82
72,80
70,79
69,78
45,79
46,79
47,79
48,79
49,79
50,79
51,79
52,79
53,79
54,79
55,79
56,79
36,80
37,80
38,80
39,80
40,80
20,79
21,79
18,78
15,77
13,76
11,75
9,74
10,74
10,73
11,73
12,73
12,72
13,72
14,72
14,71
15,71
16,71
17,71
17,70
18,70
19,70
19,69
20,69
21,69
22,69
23,69
23,68
24,68
25,68
26,68
27,68
28,68
29,68
30,68
31,68
32,68
33,68
24,69
25,69
26,69
27,69
28,69
29,69
30,69
31,69
32,69
33,69
34,69
35,69
35,70
36,70
37,70
38,70
39,70
40,70
41,70
42,70
43,70
44,70
44,71
45,71
46,71
47,71
48,71
49,71
50,71
51,71
52,71
53,71
54,71
55,71
56,71
57,71
58,71
59,71
60,71
61,71
62,71
63,71
64,71
65,71
66,71
67,71
68,71
68,70
69,70
69,69
70,69
71,69
71,68
72,68
73,68
73,67
74,67
74,66
75,66
76,66
76,65
77,65
78,65
78,64
79,64
80,64
80,63
81,63
82,63
82,62
83,62
84,62
84,61
85,61
86,61
86,60
86,59
86,58
85,58
85,57
85,56
84,56
84,55
83,55
82,55
81,55
80,55
79,55
78,55
78,56
78,57
78,58
78,59
78,60
77,60
77,61
76,61
75,61
74,61
73,61
72,61
71,61
70,61
69,61
68,61
67,61
66,61
65,61
64,61
63,61
62,61
61,61
60,61
59,61
58,61
57,61
57,60
56,60
55,60
54,60
53,60
52,60
51,60
51,59
50,59
49,59
48,59
47,59
47,58
46,58
45,58
44,58
43,58
43,57
42,57
41,57
41,56
40,56
39,56
39,55
38,55
37,55
37,54
36,54
35,54
35,53
34,53
34,52
33,52
32,52
32,51
31,51
31,50
30,50
30,49
29,49
29,48
29,47
28,47
28,46
27,46
27,45
27,44
26,44
26,43
26,42
25,42
25,41
25,40
24,40
24,39
24,38
25,38
26,38
27,38
28,38
29,38
30,38
31,38
32,38
33,38
34,38
35,38
36,38
37,38
38,38
39,38
40,38
41,38
42,38
43,38
44,38
45,38
46,38
47,38
48,38
49,38
50,38
51,38
52,38
53,38
54,38
55,38
56,38
57,38
